id,text,label,language,category,source,is_synthetic,notes
1,"Guaranteed profit within 24 hours",blocked,en,finance,manual,yes,"financial guarantee claim"
2,"Risk-free investment with fixed income",blocked,en,finance,manual,yes,"no risk + guaranteed return"
3,"Earn money daily without any effort",blocked,en,finance,manual,yes,"unrealistic income claim"
4,"Lose 10kg in 7 days guaranteed",blocked,en,health,manual,yes,"false medical claim"
5,"100% guaranteed results with no side effects",blocked,en,health,manual,yes,"false guarantee"
6,"Limited time offer! Act now",flagged,en,retail,manual,yes,"urgency tactic"
7,"Exclusive deal today only",flagged,en,retail,manual,yes,"scarcity marketing"
8,"Apply now before the deadline",flagged,en,jobs,manual,yes,"pressure language"
9,"Best product in the world",flagged,en,retail,manual,yes,"exaggeration"
10,"New product available now",approved,en,retail,manual,yes,"normal promotion"
11,"Make steady income from home with no experience",blocked,en,finance,manual,yes,"unrealistic income claim"
12,"Safe investment with guaranteed daily returns",blocked,en,finance,manual,yes,"false guarantee"
13,"Burn fat fast without dieting or exercise",blocked,en,health,manual,yes,"false medical claim"
14,"Get instant results from the first use",blocked,en,health,manual,yes,"instant result claim"
15,"Secure passive income starting today",blocked,en,finance,manual,yes,"misleading income promise"
16,"Offer ends tonight, don’t miss it",flagged,en,retail,manual,yes,"urgency tactic"
17,"Hurry, only a few spots left",flagged,en,education,manual,yes,"scarcity tactic"
18,"Join now before registration closes",flagged,en,education,manual,yes,"pressure language"
19,"Limited stock available",flagged,en,retail,manual,yes,"scarcity marketing"
20,"Everyone is talking about this product",flagged,en,retail,manual,yes,"social proof exaggeration"
21,"Fast delivery available nationwide",approved,en,retail,manual,yes,"normal service info"
22,"Register today for a free course",approved,en,education,manual,yes,"normal offer"
23,"Discounts available on selected items",approved,en,retail,manual,yes,"normal promotion"
24,"New collection just arrived",approved,en,retail,manual,yes,"normal product announcement"
25,"Flexible working hours available",approved,en,jobs,manual,yes,"neutral job info"
26,"Double your income in just one week",blocked,en,finance,manual,yes,"unrealistic income claim"
27,"Guaranteed approval with no checks",blocked,en,finance,manual,yes,"false guarantee"
28,"Act fast before this opportunity disappears",flagged,en,finance,manual,yes,"urgency pressure"
29,"Top-rated solution for all your problems",flagged,en,health,manual,yes,"exaggeration"
30,"Free consultation available for new clients",approved,en,general,manual,yes,"normal service info"
31,"Get free delivery when you order today",approved,en,retail,manual,no,"normal promotion"
32,"Only a few spots remain, register now",flagged,en,education,manual,no,"scarcity and urgency"
33,"Guaranteed monthly returns with no downside",blocked,en,finance,manual,no,"false financial guarantee"
34,"Shop the latest collection now available",approved,en,retail,manual,no,"normal promotion"
35,"Don’t miss your final chance to join",flagged,en,general,manual,no,"pressure language"
36,"Guaranteed visible results in just days",blocked,en,health,manual,no,"false medical promise"
37,"Explore our new arrivals at affordable prices",approved,en,retail,manual,no,"normal product promotion"
38,"Book your seat before registration closes",flagged,en,education,manual,no,"urgency tactic"
39,"Start earning more today without any losses",blocked,en,finance,manual,no,"false no-loss claim"
40,"Customer support is available 24/7",approved,en,general,manual,no,"normal service info"
41,"The report highlighted recent developments in the sector",approved,en,general,manual,no,"neutral news"
42,"Officials discussed plans for future improvements",approved,en,general,manual,no,"informational"
43,"Data shows steady growth over the past quarter",approved,en,finance,manual,no,"neutral report"
44,"The company announced a new product launch",approved,en,retail,manual,no,"neutral announcement"
45,"The article explores key challenges in the industry",approved,en,general,manual,no,"analysis"
46,"Check out our latest offer today",flagged,en,retail,manual,no,"promotion"
47,"Join now and start your journey",flagged,en,general,manual,no,"soft persuasion"
48,"Don’t miss this limited-time opportunity",flagged,en,retail,manual,no,"urgency"
49,"Discover our services now",flagged,en,general,manual,no,"call to action"
50,"Start today and benefit from our platform",flagged,en,finance,manual,no,"soft marketing"
51,"Earn thousands daily with no effort",blocked,en,finance,manual,no,"scam claim"
52,"Guaranteed results in just 24 hours",blocked,en,health,manual,no,"false guarantee"
53,"Invest now with zero risk",blocked,en,finance,manual,no,"false claim"
54,"Miracle cure for all diseases",blocked,en,health,manual,no,"false medical"
55,"Make money instantly without experience",blocked,en,finance,manual,no,"scam pattern"
56,"The study examines the impact of recent changes",approved,en,education,manual,no,"neutral"
57,"The event was attended by several participants",approved,en,general,manual,no,"neutral report"
58,"The report outlines the key findings",approved,en,general,manual,no,"informational"
59,"The platform offers various features for users",approved,en,technology,manual,no,"neutral"
60,"The update introduces several improvements",approved,en,technology,manual,no,"neutral"
61,"Sign up now to unlock exclusive features",flagged,en,general,manual,no,"soft persuasion"
62,"Join today and start your journey",flagged,en,general,manual,no,"marketing tone"
63,"Don’t wait, explore our services now",flagged,en,general,manual,no,"urgency"
64,"Take advantage of this offer today",flagged,en,retail,manual,no,"promotion"
65,"Start now and experience the difference",flagged,en,general,manual,no,"call to action"
66,"Get started today with our platform",flagged,en,technology,manual,no,"soft marketing"
67,"Discover what we offer today",flagged,en,general,manual,no,"promotion"
68,"Join thousands of users today",flagged,en,general,manual,no,"social proof"
69,"Start your experience with us now",flagged,en,general,manual,no,"soft persuasion"
70,"Explore our services and get started",flagged,en,general,manual,no,"call to action"
71,"Sign up now to unlock member benefits",flagged,en,general,manual,no,"soft promotion"
72,"Join today and discover what we offer",flagged,en,general,manual,no,"call to action"
73,"Start now and enjoy exclusive access",flagged,en,general,manual,no,"soft urgency"
74,"Create your account today and get started",flagged,en,technology,manual,no,"marketing CTA"
75,"Explore our platform and begin today",flagged,en,technology,manual,no,"promotional language"
76,"Get started now and enjoy special features",flagged,en,general,manual,no,"soft persuasion"
77,"Open your account today and access more tools",flagged,en,finance,manual,no,"CTA language"
78,"Sign up today and enjoy personalized support",flagged,en,general,manual,no,"promotional CTA"
79,"Join now for a better experience",flagged,en,general,manual,no,"soft persuasive tone"
80,"Start today and unlock premium features",flagged,en,technology,manual,no,"benefit-driven CTA"
81,"Sign up now and unlock more features",flagged,en,general,manual,no,"soft CTA"
82,"Join today and enjoy exclusive access",flagged,en,general,manual,no,"soft persuasive language"
83,"Start now to explore our services",flagged,en,general,manual,no,"promotional CTA"
84,"Create your account today to get started",flagged,en,technology,manual,no,"marketing CTA"
